epoch,loss,mse,val_loss,val_mse
0,0.012462828308343887,0.012462827377021313,0.026522349566221237,0.026522353291511536
1,0.007111907936632633,0.007111907005310059,0.02136172540485859,0.02136172726750374
2,0.006311871111392975,0.006311871577054262,0.02143465168774128,0.02143465168774128
3,0.0056833927519619465,0.0056833927519619465,0.01937675289809704,0.019376754760742188
4,0.005374383646994829,0.005374383646994829,0.017154505476355553,0.017154505476355553
5,0.00514392601326108,0.00514392601326108,0.015054438263177872,0.015054440125823021
6,0.00499243987724185,0.00499243987724185,0.011525592766702175,0.011525592766702175
7,0.0049194153398275375,0.0049194153398275375,0.008588294498622417,0.008588293567299843
8,0.004777645226567984,0.004777645226567984,0.005912713706493378,0.005912713706493378
9,0.00466102734208107,0.00466102734208107,0.004695138428360224,0.004695138428360224
10,0.004579704254865646,0.004579704254865646,0.004472971428185701,0.004472970962524414
11,0.0045075141824781895,0.0045075141824781895,0.004227057099342346,0.004227056633681059
12,0.004441017284989357,0.004441017284989357,0.004261599387973547,0.00426159892231226
13,0.004434002563357353,0.004434002563357353,0.004049697890877724,0.004049697890877724
14,0.004345782566815615,0.004345782566815615,0.004041685722768307,0.004041685722768307
15,0.004353581462055445,0.004353581462055445,0.004018067382276058,0.004018066916614771
16,0.004380070138722658,0.004380070138722658,0.0039663976058363914,0.0039663976058363914
17,0.004313672427088022,0.004313672427088022,0.003977645188570023,0.003977645188570023
18,0.004285570699721575,0.004285570699721575,0.004074486438184977,0.004074486903846264
19,0.004217114765197039,0.004217114765197039,0.003981597255915403,0.003981597255915403
20,0.004172734450548887,0.004172734450548887,0.0038985463324934244,0.0038985463324934244
21,0.004175945650786161,0.004175945650786161,0.003932560794055462,0.003932560794055462
22,0.004157587885856628,0.004157587420195341,0.003874404588714242,0.003874404588714242
23,0.004166667815297842,0.004166667815297842,0.003945077769458294,0.003945077769458294
24,0.004198688548058271,0.004198688082396984,0.0039275288581848145,0.0039275288581848145
25,0.004165525082498789,0.004165525082498789,0.0038866009563207626,0.0038866004906594753
26,0.00415307842195034,0.004153077956289053,0.00392805365845561,0.00392805365845561
27,0.004142560064792633,0.004142560064792633,0.0038795704022049904,0.0038795704022049904
28,0.004098058212548494,0.004098058212548494,0.003904191544279456,0.003904191544279456
29,0.004098962526768446,0.004098962526768446,0.003847635118290782,0.0038476355839520693
30,0.00408757571130991,0.004087576176971197,0.0038550777826458216,0.0038550777826458216
