epoch,loss,mse,val_loss,val_mse
0,0.21217073500156403,0.016421059146523476,0.21087610721588135,0.018133947625756264
1,0.19049061834812164,0.009218408726155758,0.20846466720104218,0.016033781692385674
2,0.18746335804462433,0.0080486498773098,0.20195400714874268,0.013525832444429398
3,0.18630443513393402,0.007773655466735363,0.19071631133556366,0.009542837738990784
4,0.18566185235977173,0.007596168667078018,0.18491187691688538,0.0078037274070084095
5,0.1852119266986847,0.007412871811538935,0.1841619461774826,0.007531152106821537
6,0.1848587840795517,0.007253255229443312,0.1838742047548294,0.007428567390888929
7,0.18469512462615967,0.007216246332973242,0.1837090700864792,0.007427284959703684
8,0.18455415964126587,0.0071865711361169815,0.18365709483623505,0.007419321686029434
9,0.18439362943172455,0.007164033129811287,0.18371330201625824,0.007423067931085825
10,0.18433435261249542,0.00715568708255887,0.18367576599121094,0.007420539855957031
11,0.18423572182655334,0.007123154122382402,0.18373237550258636,0.007456480525434017
12,0.18417681753635406,0.007113038096576929,0.18368709087371826,0.007477120496332645
13,0.1840895116329193,0.00710592046380043,0.18353493511676788,0.007414655759930611
14,0.18403548002243042,0.007093450985848904,0.18354618549346924,0.007429980672895908
15,0.18397901952266693,0.007107373792678118,0.18345166742801666,0.007331454660743475
16,0.1839052438735962,0.007072047330439091,0.1835092008113861,0.0073579587042331696
17,0.18386860191822052,0.0070593589916825294,0.18350408971309662,0.007333873305469751
18,0.18386408686637878,0.007060573436319828,0.18354523181915283,0.007383714895695448
19,0.18381744623184204,0.007060050964355469,0.18337403237819672,0.007329164072871208
20,0.18374916911125183,0.007033780682832003,0.18338343501091003,0.007332743611186743
21,0.1837691217660904,0.007049752864986658,0.1833728849887848,0.007415899075567722
22,0.18373996019363403,0.007031552027910948,0.1834229975938797,0.0073242150247097015
23,0.18370617926120758,0.007024518214166164,0.1834716945886612,0.007352589163929224
24,0.18368275463581085,0.007016334682703018,0.1834409534931183,0.00731827225536108
25,0.18367256224155426,0.007014116272330284,0.18339265882968903,0.007366324309259653
26,0.18365761637687683,0.007020259276032448,0.18349087238311768,0.007379875052720308
27,0.1836404949426651,0.0070179239846765995,0.1834283024072647,0.0072733378037810326
28,0.18361206352710724,0.0070097073912620544,0.18343324959278107,0.007271249778568745
29,0.18359068036079407,0.006992812268435955,0.1833415925502777,0.0073287407867610455
30,0.18350674211978912,0.006994412746280432,0.18339803814888,0.0072848135605454445
31,0.18352515995502472,0.006983659230172634,0.18344789743423462,0.007308895234018564
32,0.1835065335035324,0.006977149285376072,0.1833692491054535,0.00733339274302125
33,0.1834845244884491,0.006988092791289091,0.18346256017684937,0.0073060933500528336
34,0.1835019290447235,0.006982672493904829,0.18342441320419312,0.007346260827034712
